Creating frame-specific output for files:
run-umbrella.sh
     frame      dist    d_dist
         0     0.505        NA
       155     0.714     0.209
       165     0.914     0.200
       174     1.113     0.199
       182     1.309     0.196
       190     1.502     0.193
       199     1.695     0.193
       210     1.890     0.195
       218     2.090     0.200
       230     2.284     0.194
       244     2.489     0.205
       255     2.687     0.198
       268     2.877     0.190
       296     3.079     0.202
       311     3.278     0.199
       327     3.477     0.199
       354     3.679     0.202
       362     3.871     0.192
       382     4.069     0.198
       403     4.274     0.205
       417     4.467     0.193
       430     4.670     0.203
       446     4.882     0.212
       470     5.081     0.199
       494     5.270     0.189
       500     5.345     0.075
